2019-02-21,23:04:37.493635 
2019-02-21,23:04:37.497622 
2019-02-21,23:04:37.500612 
2019-02-21,23:04:37.507595 
2019-02-21,23:04:37.532527 i am the current leader. Table={}
2019-02-21,23:04:37.534522 Publisher changes. Table={}
2019-02-21,23:04:37.536517 Subscriber changes. Table={}
2019-02-21,23:04:37.537515 broker started. mode=2, port=5555, znode=/Election/Broker_0000000056
2019-02-21,23:04:56.515784 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_114'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.533706 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_115'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.548663 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_116'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.564624 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_117'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.581576 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_118'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.595539 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_119'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.609503 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_120'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.625462 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_121'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.642413 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_122'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.659369 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_123'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.678317 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_124'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.699293 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_125'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.719216 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_126'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.739154 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_127'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.755114 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_128'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
